Name,Key,Value,Key2,value2,key3,value3,link
Shoemaker,craft,shoemaker,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dshoemaker
cobler/shoemaker,craft,shoemaker,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dshoemaker
water well with no pump(man-made),man_made,water_well,,,,,https://wiki.openstreetmap.org/wiki/Tag:man_made%3Dwater_well
Copy shop,shop,copyshop,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcopyshop
Alcohol shop,shop,alcohol,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dalcohol
motorcycle repair / mechanic,shop,motorcycle,motorcycle:repair,yes,,,https://wiki.openstreetmap.org/wiki/Key:motorcycle:repair
Motorcycle parts,shop,motorcycle,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmotorcycle
Motorcycle tyres,shop,tyres,motorcycle:tyres,yes,,,https://wiki.openstreetmap.org/wiki/Key:motorcycle:tyres
Agrarian shop,shop,agrarian,agrarian,yes,,,https://wiki.openstreetmap.org/wiki/Key:agrarian
pharmacy/dispensary,amenity,pharmacy,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpharmacy
Doctor,amenity,doctors,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddoctors
herbalist,shop,herbalist,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dherbalist
Borehole,man_made,water_well,,,,,https://wiki.openstreetmap.org/wiki/Tag:man_made%3Dwater_well
water well with pump,man_made,water_well,,,,,https://wiki.openstreetmap.org/wiki/Tag:man_made%3Dwater_well
Football field,leisure,pitch,sport,soccer,,,"https://wiki.openstreetmap.org/wiki/Tag:sport%3Dsoccer, https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch"
Mobile phone seller,shop,mobile_phone,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmobile_phone
bakery,craft,bakery,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dbakery
grinding mill (building),craft,grinding_mill,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dgrinding_mill
grinding mill (landuse),craft,grinding_mill,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dgrinding_mill
oil mill,craft,oil_mill,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Doil_mill
Car Wash,amenity,car_wash,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcar_wash
electrician / electronic repair,craft,electronics_repair,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Delectronics_repair
welder / metal worker,craft,welder,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dwelder
tailor / dress maker,shop,tailor,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtailor
car repair / mechanic,shop,car_repair,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar_repair
vulcanizer / tyre repair,shop,tyres,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtyres
carpenter / wood worker,craft,carpenter,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dcarpenter
Boat builder,craft,boatbuilder,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dboatbuilder
telecommunication mast (man-made),man_made,mast,tower:type,communication,,,https://wiki.openstreetmap.org/wiki/Tag:man_made%3Dmast
Restaurant,amenity,restaurant,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Drestaurant
bar(drinks only),amenity,bar,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbar
Barber shop,shop,hairdresser,male,yes,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhairdresser
beauty salon,shop,hairdresser,female,yes,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhairdresser
Internet cafe,amenity,internet_cafe,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dinternet_cafe
Photograph shop,shop,photo,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dphoto
Motorcycle services,shop,motorcycle,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmotorcycle
Frozen yoghurt shop,amenity,ice_cream,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dice_cream
Convenience shop/mini-mart,shop,convenience,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dconvenience
Fuel station,amenity,fuel,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfuel
A building that is a shed,building,shed,,,,,https://wiki.openstreetmap.org/wiki/Tag:building%3Dshed
A building that has no walls,building,roof,,,,,https://wiki.openstreetmap.org/wiki/Tag:building%3Droof
community Hall/Center,amenity,community_centre,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcommunity_centre
community Hall,amenity,community_centre,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcommunity_centre
place of worship,amenity,place_of_worship,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dplace_of_worship
Hotel,tourism,hotel,,,,,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dhotel
Motel,tourism,motel,,,,,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmotel
Guest house,tourism,guest_house,,,,,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dguest_house
car taxi,amenity,taxi,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtaxi
motorbike taxi,amenity,motorcycle_taxi,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmotorcycle_taxi
a building that contains a shop,shop,general,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgeneral
a building used for a small retail business,building,retail,,,,,https://wiki.openstreetmap.org/wiki/Tag:building%3Dretail
Football betting shop,shop,bookmaker,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbookmaker
Greengrocer/vegetable sales,shop,greengrocer,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgreengrocer
video/football viewing centre,amenity,sports_viewing_centre,,,,,https://wiki.openstreetmap.org/wiki/Proposed_features/Sports_Viewing_Center_in_Africa
kiosk,shop,kiosk,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dkiosk
power plant,power,generator,,,,,https://wiki.openstreetmap.org/wiki/Tag:power%3Dgenerator
kindergarden,amenity,kindergarten,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dkindergarten
primary school,amenity,school,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dschool
secondary school,amenity,school,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dschool
pool billiard,leisure,pitch,sport,billiards,,,https://wiki.openstreetmap.org/wiki/Tag:sport%3Dbilliards
pool shop,leisure,pitch,sport,billiards,,,https://wiki.openstreetmap.org/wiki/Tag:sport%3Dbilliards
diary shop,shop,dairy,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Ddairy
diary,shop,dairy,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Ddairy
vetirinary,amenity,veterinary,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dveterinary
butcher,shop,butcher,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbutcher
mobile shop (sale and repair),shop,mobile_phone,mobile_phone:repair,yes,,,https://wiki.openstreetmap.org/wiki/Key:mobile_phone:repair
abattoir,industrial,slaughterhouse ,,,,,https://wiki.openstreetmap.org/wiki/Tag:industrial%3Dslaughterhouse
wholesaler,shop,wholesale,,,,,https://wiki.openstreetmap.org/wiki/Key:wholesale
public water tank,man_made,water_tower,,,,,https://wiki.openstreetmap.org/wiki/Tag:man_made%3Dwater_tower
butcher,shop,butcher,,,,,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbutcher
bank,amenity,bank,,,,,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbank
sign maker / painter,craft,signmaker,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dsignmaker
photographer / video maker,craft,photographer,,,,,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dphotographer
